target_deathrate,incidencerate,medincome,popest2015,povertypercent,studypercap,medianagemale,medianagefemale,percentmarried,pctnohs18_24,pcths18_24,pctbachdeg18_24,pcths25_over,pctbachdeg25_over,pctemployed16_over,pctunemployed16_over,pctprivatecoverage,pctpubliccoverage,pctpubliccoveragealone,pctwhite,pctblack,pctasian,pctotherrace,birthrate
164.9,489.8,61898.0,12.46894447347322,11.2,6.216103387520024,36.9,41.7,52.5,11.5,39.5,6.9,23.2,19.6,51.9,8.0,75.1,32.9,14.0,81.78052858,2.594728333,4.821857102,1.843478533,6.118831029
161.3,411.6,48127.0,10.67521483321893,18.6,3.1826778883109887,32.2,33.7,44.5,6.1,22.4,7.5,26.0,22.7,55.9,7.8,70.2,31.1,15.3,89.22850915,0.969102455,2.246232585,3.7413515310000003,4.333095578
174.7,349.7,49348.0,9.953562605168434,14.6,3.8828035159795045,44.0,45.8,54.2,24.0,36.6,9.5,29.0,16.0,45.9,7.0,63.7,42.1,21.1,90.9221902,0.739673391,0.465898175,2.7473583089999996,3.729487817
194.8,430.4,44243.0,11.236947959377066,17.1,5.839586602743133,42.2,43.4,52.7,20.2,41.2,2.5,31.6,9.3,48.3,12.1,58.4,45.3,25.0,91.74468649,0.782625968,1.16135867,1.362643183,4.603840773
144.4,350.1,49955.0,9.242032818708672,12.5,0.0,47.8,48.9,57.8,14.9,43.0,2.0,33.4,15.0,48.2,4.8,61.6,44.0,22.7,94.10402393,0.270192029,0.665830358,0.492135482,6.796657382
176.0,505.4,52313.0,11.019022508400145,15.6,5.1999319239666635,43.5,48.0,50.4,29.9,35.1,4.5,30.4,11.9,44.1,12.9,60.0,43.2,20.2,84.88263065,1.653205244,1.53805662,3.31463539,4.964476021
175.9,461.8,37782.0,10.63385826089404,23.2,0.0,42.2,43.5,54.1,26.1,41.4,5.8,29.8,11.9,51.8,8.9,49.5,46.4,28.7,75.10645505,0.616955386,0.8661569729999999,8.356721185,4.204317269
183.6,404.0,40189.0,9.945061264446057,17.8,0.0,50.8,52.5,52.7,27.3,33.9,2.2,31.6,11.3,40.9,8.9,55.8,50.9,24.1,89.40663599,0.305158634,1.8890772580000001,2.286267861,5.889178996
190.5,459.4,42579.0,9.479527461791719,22.3,0.0,48.4,49.8,55.9,34.7,39.4,1.4,32.2,12.0,39.5,10.3,55.5,48.1,26.6,91.78747687,0.185070944,0.208204812,0.6169031460000001,5.587583148999999
177.8,510.9,60397.0,13.64585445462112,13.1,6.060870340864131,34.7,37.0,50.0,15.6,36.3,7.1,28.8,16.2,56.6,9.2,69.9,31.4,16.5,74.72966791,6.710854162,6.0414720079999995,2.6991843810000002,5.533430211000001
